image_id,in_common182,proposal_count,single_candidate_count,component_candidate_count,topk_candidate_count,upper_candidate_count,final_iou,final_ari,single_iou,single_ari,component_iou,component_ari,topk_iou,topk_ari,upper_iou,upper_ari
104,True,1,1,1,0,2,0.0036089994624755855,-0.08044923993794355,0.003088152723176834,-0.08583614745226664,0.0036089994624755855,-0.08044923993794355,0.0,0.0,0.0036089994624755855,-0.08044923993794355
105,True,2,2,1,1,5,0.9295302013333697,0.9423527443049763,0.9255237362970831,0.9391114805628991,0.1552367730986345,-0.013543251130827303,0.15806552057529938,-0.0345904695204674,0.9295302013333697,0.9423527443049763
106,True,2,2,1,1,5,0.9045081057006106,0.9106763879070933,0.898622630325099,0.9051930627785347,0.2056061924606397,-0.0008348680888489823,0.19575919982520212,0.04309632933469281,0.9045081057006106,0.9106763879070933
107,False,0,0,0,0,1,0.0,-0.014735569416476095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014735569416476095
108,True,4,4,1,3,9,0.9126779660893196,0.9372998030756198,0.9147042716194591,0.9389718506877388,0.11087755331250962,-0.04977812630116609,0.22466204855664582,0.08199026037467608,0.9147042716194591,0.9389718506877388
109,True,1,1,1,0,2,0.9348310316239111,0.9329389439469289,0.9268760795795095,0.9250678892817953,0.9348310316239111,0.9329389439469289,0.0,0.0,0.9348310316239111,0.9329389439469289
110,True,2,2,1,1,5,0.9549785167017565,0.9707703162922375,0.9510463377998684,0.9681808428798174,0.081447825355177,-0.0045646619717808045,0.08077716098321844,0.0023490429801495552,0.9549785167017565,0.9707703162922375
111,True,2,2,2,1,5,0.8912047302159467,0.9235038267032715,0.8853889381708757,0.919302180054116,0.8912047302159467,0.9235038267032715,0.09549092764422416,0.06484355281053344,0.8912047302159467,0.9235038267032715
112,True,4,4,1,3,9,0.0,0.11025595720780164,0.954487875489011,0.9618244954732711,0.16845744763296205,-0.014244058276860186,0.17114224557279117,-0.033531476596295906,0.954487875489011,0.9618244954732711
113,True,2,2,1,1,5,0.9306941796463979,0.94696620265162,0.9272625070159948,0.9443625187706493,0.13511366414059045,-0.0020432835477400715,0.13154487462873185,0.02182411965359235,0.9306941796463979,0.94696620265162
114,True,2,2,1,1,5,0.9199999999847934,0.9458764637944469,0.9210220673482492,0.9466369374391418,0.0878167938929957,-0.000987155401618402,0.08724905897100495,0.003918367401232555,0.9210220673482492,0.9466369374391418
115,True,3,3,2,2,7,0.3893065998282694,0.4770848357619862,0.5901815575658124,0.6693434956138196,0.3893065998282694,0.4770848357619862,0.5938171401218212,0.6725214042185145,0.5938171401218212,0.6725214042185145
116,True,2,2,2,1,5,0.33729423307165274,0.4142933680824307,0.8570813139379958,0.8875104596116224,0.33729423307165274,0.4142933680824307,0.1293311971851077,0.07819871242560339,0.8570813139379958,0.8875104596116224
117,True,3,3,2,2,7,0.9203732503744888,0.9452341586836125,0.9192343603965261,0.9444433750369033,0.9203732503744888,0.9452341586836125,0.10033291435930915,-0.048220968848650306,0.9203732503744888,0.9452341586836125
118,True,2,2,2,1,5,0.9592115848675847,0.9636216481740468,0.9591324755121863,0.9636700372829075,0.9592115848675847,0.9636216481740468,0.1950304426523037,-0.05101837747579,0.9592115848675847,0.9636216481740468
119,True,4,4,1,3,9,0.9560187597607501,0.965448353458851,0.9558685445909664,0.9653452801689282,0.14513178294551143,-0.0097176727744926,0.14706260032079124,-0.026806204747762786,0.9560187597607501,0.965448353458851
120,True,3,3,1,2,7,0.9568709503175157,0.9572455311060644,0.9569105690992079,0.957389958838294,0.2248276942352368,-0.017746272132517647,0.23213317338466116,-0.04840470267119368,0.9569105690992079,0.957389958838294
121,True,2,2,2,1,5,0.9552187392188216,0.9703302228849378,0.9586290462011662,0.9726521433746315,0.9552187392188216,0.9703302228849378,0.08798436680792465,-0.03331468531382383,0.9586290462011662,0.9726521433746315
122,True,2,2,1,1,5,0.5835601846337817,0.5666909468127229,0.9076026146816583,0.9000021668533321,0.2570688174677118,-0.006275426751534489,0.2528673922588497,-0.007825559277978868,0.9076026146816583,0.9000021668533321
123,True,3,3,1,2,7,0.9429066625837645,0.9306849636262685,0.9410623084732326,0.92858343376566,0.2952671428129,-0.002846323154005363,0.29704174199590894,-0.01800103081523006,0.9429066625837645,0.9306849636262685
124,True,2,2,2,1,5,0.7967258966699841,0.8193648715038833,0.8150136262216945,0.8361281498060572,0.7967258966699841,0.8193648715038833,0.16207476393713285,0.09059114550731204,0.8150136262216945,0.8361281498060572
125,True,2,2,1,1,5,0.4177046801255568,0.5060580570873278,0.8824455205704304,0.9117493754370204,0.12248012330399902,-0.00018366699315659643,0.11565867086100565,0.05823900813264956,0.8824455205704304,0.9117493754370204
126,True,2,2,1,1,5,0.9438235732332796,0.9303316979386076,0.9383102369197918,0.9235927450142947,0.3063887657957209,0.0015534223194092333,0.29811136180706843,0.009537617116826533,0.9438235732332796,0.9303316979386076
127,True,3,3,3,2,9,0.9419822723565342,0.925212640348728,0.9742179443059754,0.96748679742776,0.9724927805737728,0.9652274841027606,0.9424228028458792,0.9259115646387194,0.9742179443059754,0.96748679742776
128,True,1,1,1,0,2,0.8850260939346245,0.8317790441355205,0.86422587400973,0.8034373263049891,0.8850260939346245,0.8317790441355205,0.0,0.0,0.8850260939346245,0.8317790441355205
129,True,2,2,2,1,5,0.9371834931479669,0.9512054549998941,0.9334627412818562,0.9483042189170415,0.9371834931479669,0.9512054549998941,0.13719972330502891,0.02436650865522773,0.9371834931479669,0.9512054549998941
130,True,2,2,2,1,5,0.0,-0.1073892075596535,0.9116970592992303,0.9219763481073734,0.9170043767148889,0.9261587633042196,0.47791078194764935,0.371226844772976,0.9170043767148889,0.9261587633042196
131,True,2,2,1,1,5,0.862329349398098,0.8333407027877258,0.8472659962937252,0.8157945496527554,0.2963480772476204,0.01852250495627896,0.2761267435293459,0.04195978369265917,0.862329349398098,0.8333407027877258
132,True,2,2,1,1,5,0.9566248134080548,0.9630698890810183,0.9550808720028561,0.9617735668353476,0.1728563752204301,-0.009376976768777714,0.17593564748231125,-0.03306417441152783,0.9566248134080548,0.9630698890810183
133,True,2,2,2,1,5,0.9520507231924702,0.9614601273090003,0.9505009423574,0.9602305341218845,0.9520507231924702,0.9614601273090003,0.1528497822582066,-0.002533947255663238,0.9520507231924702,0.9614601273090003
134,True,1,1,1,0,2,0.0007556806337274451,0.007318503184601242,0.0005912706944727175,-0.010373597136375116,0.0007556806337274451,0.007318503184601242,0.0,0.0,0.0007556806337274451,0.007318503184601242
135,True,2,2,1,1,5,0.8628801881891636,0.9060708673046142,0.8540404040260263,0.8997954229941472,0.08710264668800338,0.03529565962608878,0.08347590303095084,0.05811010932995138,0.8628801881891636,0.9060708673046142
136,True,2,2,1,1,5,0.9396760617148364,0.9560605765335224,0.9380181099229943,0.9548373020909569,0.11955609152922567,-0.0007098762201042736,0.11523129113431108,0.03916616628838401,0.9396760617148364,0.9560605765335224
137,True,1,1,1,0,2,0.9214501510410263,0.9478563627949161,0.9171850008722733,0.9449546032607234,0.9214501510410263,0.9478563627949161,0.0,0.0,0.9214501510410263,0.9478563627949161
138,True,2,2,2,1,5,0.9657691787178221,0.9757016270447705,0.9657228017752917,0.9756795612778227,0.9657691787178221,0.9757016270447705,0.12402561247194455,-0.0747244429682918,0.9657691787178221,0.9757016270447705
139,True,1,1,1,0,2,0.0,-0.012154828364507929,0.0,-0.011966858879680098,0.0,-0.012154828364507929,0.0,0.0,0.0,-0.011966858879680098
140,True,2,2,1,1,5,0.9428495657300082,0.9427305041035654,0.9387850156301897,0.9388172255178061,0.2297833906905807,-0.018755987951482478,0.2348742634239607,-0.04217552714269892,0.9428495657300082,0.9427305041035654
141,True,1,1,1,0,2,0.0050729839674441895,0.068904202993762,0.002762635356792475,0.053937953267764585,0.0050729839674441895,0.068904202993762,0.0,0.0,0.0050729839674441895,0.068904202993762
142,False,0,0,0,0,1,0.0,-0.07141874562886881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07141874562886881
143,True,2,2,1,1,5,0.9694410489946722,0.9766787042932488,0.9679893297658331,0.9755674226164991,0.1366875734405581,-0.0001796794733203583,0.13653523818453792,-0.0037804456733130896,0.9694410489946722,0.9766787042932488
144,True,3,3,2,2,7,0.9006234889820509,0.9269549137578171,0.893711812615915,0.9217679207027988,0.9006234889820509,0.9269549137578171,0.13105582240428326,-0.05751474631936948,0.9006234889820509,0.9269549137578171
145,True,2,2,1,1,5,0.9623782331152033,0.9574119186028497,0.9614111840206325,0.9563859474590445,0.271251164708523,-0.0004961508494579891,0.27354760538187367,-0.018416951763693415,0.9623782331152033,0.9574119186028497
146,False,0,0,0,0,1,0.6993562663377654,0.7500827813990496,0.0,0.0,0.0,0.0,0.0,0.0,0.6993562663377654,0.7500827813990496
